Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page
HODNOCENÍ NAŠÍCH ZÁKAZNÍKŮZÁKAZNÍCI DOPORUČUJÍ ESHOP;;Social Proof;Testimonials of Uncertain Origin;Product detail;No;https://www.envy-eshop.cz/panske-bundy-envy/panska-bunda-alpine-pro-tatar-2-mjcp365-tmave-modra-velikost-xs
HODNOCENÍ NAŠÍCH ZÁKAZNÍKŮZÁKAZNÍCI DOPORUČUJÍ ESHOP;;Social Proof;Testimonials of Uncertain Origin;Product detail;No;https://www.neonato-eshop.cz/trojkombinace/neonato-set-kocarek-puro-autosedacka-puro-zdarma-2020-col-46a
HODNOCENÍ NAŠÍCH ZÁKAZNÍKŮZÁKAZNÍCI DOPORUČUJÍ ESHOP;;Social Proof;Testimonials of Uncertain Origin;Product detail;No;https://www.levnekominy.cz/jednopruduchovy-komin-o-200-s-uhlem-kourovodu-90-standard/cs-komin-universal-jednopruduch-standard-prumer-200-mm-kourovod-90-2332
HODNOCENÍ NAŠÍCH ZÁKAZNÍKŮZÁKAZNÍCI DOPORUČUJÍ ESHOP;;Social Proof;Testimonials of Uncertain Origin;Product detail;No;https://www.lamart-cz.cz/tlakove-hrnce/lt1132-tlakovy-hrnec-5l-druck-lamart
HODNOCENÍ NAŠÍCH ZÁKAZNÍKŮZÁKAZNÍCI DOPORUČUJÍ ESHOP;;Social Proof;Testimonials of Uncertain Origin;Product detail;No;https://www.buddytoys-eshop.cz/domecky-skluzavky-houpacky/domecek-magical-sed-buddy-toys-bot-1011
Pravě teď zakoupili 2 zákazníci;Deceptive, time range is probably to wide;Scarcity;High-demand Message;Product detail;Yes;https://www.xdomacnost.cz/nalepovaci-drzak-na-mop-bily-p-3516.html
Celkem zákazníci zakoupili již 137x;;Social Proof;Activity Message;Product detail;??;https://www.cizinecfood.cz/mrkvovy-salat-250g-fermentovana-zelenina/
Celkem zákazníci zakoupili již 46x;;Social Proof;Activity Message;Product detail;??;https://www.3dfil.cz/zbozi/pla-zluta-transparentni-1-75-mm-1-kg/
Celkem zákazníci zakoupili již 29x;;Social Proof;Activity Message;Product detail;??;https://www.dadaplenky.cz/praci-gely-2/gallus--praci-gel-3v1--color--na-barevne-pradlo--2l--56-davek/
UŽ ODCHÁZÍTE?;Popup when leaving the page;Misdirection;Pressured selling;Product detail;No;https://www.dadaplenky.cz/praci-gely-2/gallus--praci-gel-3v1--color--na-barevne-pradlo--2l--56-davek/
Za týden koupilo 6 zákazníků;;Social Proof;Activity Message;Product detail;??;https://www.svet-svitidel.cz/venkovni-lampa-luna-1xe27-60w-230v-ip44/
Pravě teď zakoupili 4 zákazníci;Deceptive, time range is probably to wide;Scarcity;High-demand Message;Product detail;Yes;https://www.bestdarky.cz/svitici-vetvicky-orchideje-p-8433.html
Celkem zákazníci zakoupili již 35x;;Social Proof;Activity Message;Product detail;??;https://www.jewish-eshop.cz/kosher-coffee/koser-kafe-od-zida-jewish-e-shop-100--arabica-cohen57-kosher-for-pasover/
Celkem zákazníci zakoupili již 21x;;Social Proof;Activity Message;Product detail;??;https://www.kshps.cz/klopena-hnizda-pro-mala-a-stredni-plemena/klopene-snaskove-hnizdo-se-zasobnikem-vajec-3-modul-zadni/
Dnes zakoupili 3 zákazníci;Changed bought this today to bought this  weekend after one week;Social Proof;Activity Message;Product Detail;No;https://www.kralovske-spani.cz/ortopedicky-klin-perfect-podnoznik-p-5179.html
DNES POUZE od 790 Kč;;Urgency;Limited-time Message;Product Detail;Yes;https://www.kralovske-spani.cz/ortopedicky-klin-perfect-podnoznik-p-5179.html
Původní cena při zařazení do prodeje nebo doporučená prodejní cena;User may think about the price before the discount;Misdirection;Pressured selling;Product Detail;No;https://www.kralovske-spani.cz/ortopedicky-klin-perfect-podnoznik-p-5179.html
Celkem zákazníci zakoupili již 160x;;Social Proof;Activity Message;Product detail;??;https://www.gumko.cz/tesneni-do-oken-a-dveri-samolepici-9x7-4mm-typ-d-bile-6m/
Upozornění: poslední kus skladem!;;Scarcity;Low-stock Message;Product Detail;No;https://www.klenotnictvi-online.cz/zlate-nausnice/4607-zlate-nausnice-zdobene-zirkony.html
"Zaregistruj se
a získej slevu 10%
na svůj první
nákup!";Popup;Misdirection;Pressured selling;Product detail;No;https://www.mohaji.cz/kava-cuba-superior-serrano/
Nezasílat dotazník spokojenosti v rámci programu Ověřeno zákazníky;;Misdirection;Trick Questions;Checkout Process;No;https://www.mooda.cz/objednavka/krok-2/
Neodcházejte! Tato nabídka je omezená.;Not limited;Urgency;Limited-time Message;Product detail;Yes;https://apexis.sk/index.php?route=product/product&product_id=1392
Někdo si právě teď prohlíží;Popup notification;Social Proof;Activity Message;Product detail;??;https://apexis.sk/index.php?route=product/product&product_id=1392
;Registration is not necessary, but heavily pressured;Misdirection;Visual Interference;Checkout Process;No;https://apexis.sk/objednavka
Neodcházejte! Tato nabídka je omezená.;Not limited;Urgency;Limited-time Message;Product detail;Yes;https://eletur.sk/face-recognition-rozpoznani-obliceje-3d-kamera-kalvesnice-rfid-wg-usb-lan
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.neonato-eshop.cz/trojkombinace/neonato-set-kocarek-puro-autosedacka-puro-zdarma-2020-col-46a
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.goldex.cz/nausnice-s-krystaly-swarovski-nausnice-s-krystaly-swarovski/stribrne-nausnice-visaci-s-krystaly-swarovski-fialove-kulate-31230-5-31230-5
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.ergobaby-eshop.cz/metro/ergobaby-metro-compact-city-blue
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bibik.cz/trojkombinace-3v1/cybex-kocarek-priam-rose-gold-seat-pack-spring-blossom-lux-carry-cot-cloud-z-i-size-2021-dark
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.ergobaby-eshop.cz/prislusenstvi/ergobaby-vlozka-easy-snug-performance-cool-mesh-natur
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.tula-eshop.cz/explore-nositka/tula-explore-nositko-cherry
ZÁKAZNÍCI NEJČASTĚJI NAKUPUJÍ S TÍMTO VÝROBKEM;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.diamanty-goldex.cz/diamantove-nausnice-exclusive-line/visaci-diamantove-nausnice-10827-375-b
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bibik.cz/trojkombinace-3v1/cybex-kocarek-priam-rose-gold-seat-pack-spring-blossom-lux-carry-cot-cloud-z-i-size-2021-dark
ZÁKAZNÍCI NEJČASTĚJI NAKUPUJÍ S TÍMTO VÝROBKEM;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.goldex.cz/nausnice-s-krystaly-swarovski-nausnice-s-krystaly-swarovski/stribrne-nausnice-visaci-s-krystaly-swarovski-fialove-kulate-31230-5-31230-5
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.naradi-dewalt.cz/kombinovana-kladiva/kombinovane-kladivo-sds-plus-26-mm-dewalt-d25133k
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bayby-eshop.cz/chuvicky/bayby-bbm-7010-digitalni-audio-chuvicka-s-lcd-displejem
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.kosmetika-francie.cz/pletova-kosmetika/eucerin-hyaluron-filler-nocni-obnovujici-a-vyplnujici-serum-30-ml
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.diamanty-goldex.cz/diamantove-nausnice-exclusive-line/visaci-diamantove-nausnice-10827-375-b
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.peddy.cz/zahrada-kultivatory/elektricky-kultivator-hecht-745
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.fieldmann-cz.cz/pily-a-brusky/fduo-50501-0-aku-savlova-pila-fieldmann
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.envy-eshop.cz/panske-bundy-envy/panska-bunda-alpine-pro-tatar-2-mjcp365-tmave-modra-velikost-xs
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.buddytoys-eshop.cz/odrazedla/odstrkovadlo-mercede-buddy-toys-bpc-5110-led-svitilna-sll18
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.abc-design-cz.cz/viper-4/abc-design-set-viper-4-2021-asphalt
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.peddy.cz/zahrada-kultivatory/elektricky-kultivator-hecht-745
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.lamart-cz.cz/sady-nadobi/ltssset8-nerezove-nadobi-set-8ks-lamart
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.inpest.cz/postriky-proti-skudcum-insekticidy/substral-careo-ultra-postrik-750ml
Zákazníci nejčastěji nakupují s tímto výrobkem:;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.abc-design-cz.cz/salsa-4-air/abc-design-salsa-4-air-starter-set-fashion-edition-2021-cornet
Zákazníci nejčastěji nakupují s tímto výrobkem;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.naradi-dewalt.cz/kombinovana-kladiva/kombinovane-kladivo-sds-plus-26-mm-dewalt-d25133k
Zbývá nakoupit za801,00 Kča můžete mít poštovné zdarma;;Misdirection;Pressured selling;Product detail;No;https://www.myga.cz/bavlnene-panske-boxerky-dim-3d-flex-air-2ks-cervena-modra-m
ZBÝVÁ NAKOUPIT ZA1 410 KČA MŮŽETE MÍT POŠTOVNÉ ZDARMA;;Misdirection;Pressured selling;Product detail;No;https://www.swearino.cz/damska-podprsenka-644-emma-beige-70-d
Nakupte ještě za 918Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured selling;Cart page;No;http://www.vunezmamulada.cz/parfemy-pro-zeny/kolinska-voda-lavanda-eau-de-cologne-lavanda-eterea.htm
Nakupte ještě za 1 079Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured selling;Product detail;No;http://www.vunezmamulada.cz/parfemy-pro-zeny/detska-parfemova-voda-ale-aloe-therapy-acqua-di-profumo-ale.htm
ZBÝVÁ NAKOUPIT ZA821 KČA MŮŽETE MÍT POŠTOVNÉ ZDARMA;;Misdirection;Pressured selling;Product detail;No;https://www.swearino.cz/damska-podprsenka-644-emma-beige-70-d
"Sleva -21%! Nepropásněte unikátní slevu na BIO olej proti vráskám.
Chci omládnout
✓ Notifikuj
x";Popup notification;Misdirection;Pressured selling;Product detail;No;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/
"Zákazník z Rtyně v P.
má dokončenou objednávku
před 6 hodinami  od Notifikuj";Popup notification;Social Proof;Activity Message;Product detail;??;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/
Přihlašte se k odběru novinek a získejte 5% slevu na příští nákup.;Popup;Misdirection;Pressured selling;Product detail;No;https://www.e-potisk.cz/darky-pro-instalatery-a-elektrikare/panske-tricko-hodinova-sazba-elektrikar/
ZásilkovnaZbývá nakoupit za889 Kč35,04 €;Popup;Misdirection;Pressured selling;Product detail;No;https://www.esentis.cz/parfemy-pro-zeny/perfume-inspired-esentis-scandalous-33ml
Akce trvá pouze: 116 hod 55 min 48 sek;Timer reloads every couple of days;Urgency;Countdown Timer;Product detail;Yes;https://www.tmnabytek.cz/produkt/black-red-white/antwerpen/komoda-antwerpen,45102
Doporučujeme přikoupit:;Popup;Misdirection;Pressured selling;Product detail;No;https://www.helkon.cz/detail/spotrebni-material-soucastky/alkalicke-baterie/bc-lr03-mikrotuzkova-alkalicka-baterie-aaa.html
Tento eshop používá k poskytování služeb a personalizaci reklam soubory cookie.Používáním tohoto eshopu s tím souhlasíte. Více informací;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://aladerma-kosmetika.cz/vsechny-produkty/44-endor-exfoliating-mousse.html
Tento eshop používá k poskytování služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním tohoto eshopu s tím souhlasíte.               Oznámení vypnete kliknutím na tlačítko close;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;http://www.dortovepomucky.cz/index.php?id_product=10056&controller=product
V pořádkuTento eshop používá soubory cookie. Používáním tohoto eshopu s tím souhlasíte.;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.kamerak.cz/detail--1-D0830234/wifi-otocna-kamera-ptz-ip-xm-234-2mpx-ir-prisvit-led-diody-pro-barevny-obraz-v-noci.html
Tento eshop používá ke zkvalitnění poskytovaných služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním tohoto eshopu s tím souhlasíte. Víc informací;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.vitamina.cz/zubni-pasta-neemova-(nimbova)-s-vyssim-obsahem-neemu-100ml-sanjivani,4933.html
Tento eshop používá k poskytování služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním tohoto eshopu s tím souhlasíte. Pro více informací klikněte ZDE.;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://debor.cz/nahrdelniky/3188-ocelovy-nahrdelnik-se-zirkony-maceo-gold-chirurgicka-ocel.html
Tento eshop používá k poskytování služeb a personalizaci reklam soubory cookie.Používáním tohoto eshopu s tím souhlasíte. Více informací;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://gaminabytek.cz/matrace-drevocal-trend-1-plus-1-zdarma-/208-116-manila-havana-matrace-11-zdarma.html#/26-rozmery-200x80x21_cm
Tento eshop používá k poskytování služeb a personalizaci reklam soubory cookie. Používáním tohoto eshopu s tím souhlasíte a berete na vědomí zpracování osobních údaju dle GDPR.SOUHLASÍM;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://trigi.cz/profesionalni-malirska-platna/52-171-lnene-malirske-platno-sire-240-cm-gramaz-530-gm2.html#/30-barva-prirodni/35-sire-240_cm
Tento eshop používá k poskytování služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním tohoto eshopu s tím souhlasíte.;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.rafni.cz/zatezove-kreslo-grand-104159
Tento eshop používá k poskytování služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním tohoto eshopu s tím souhlasíte. Vice informací obchod.podmínky.;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.aashopik.cz/Ahmad-Tea-English-Breakfast-cerny-caj-100ks-100x2g-d1891.htm
Končí za 20:44:52;Reloads every day;Urgency;Countdown Timer;Product detail;Yes;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/
Nakupte ještě za 118 Kč a dopravu máte ZDARMA;In popup;Misdirection;Pressured selling;Product detail;No;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/
Nakupte ještě za 2 118 Kč a získáte 4 ks AA baterie ZDARMA!;In popup;Misdirection;Pressured selling;Product detail;No;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/
"
S tímto produktem naši zákazníci nejčastěji kupují";In popup;Misdirection;Pressured selling;Product detail;??;https://www.akoupelnyatopeni.cz/koupelny/sanswiss-ronal-marblemate-sprchova-vanicka-ctvrtkruhova-100-100-cm-bila-wmr55100004
S tímto produktem naši zákazníci nejčastěji kupují;;Misdirection;Pressured selling;Product detail;??;https://www.rent.cz/eglo-78975-led-venkovni-nastenne-svitidlo-doninni-1xled-6w-230v-ip44/
Nakupte ještě za 3 510 Kč a získáte LED svítidlo do zásuvky ZDARMA!;;Misdirection;Pressured selling;Product detail;No;https://www.rent.cz/eglo-78975-led-venkovni-nastenne-svitidlo-doninni-1xled-6w-230v-ip44/
Ostatní zákazníci si také objednali;Considered as dark pattern because it appears in the cart;Misdirection;Pressured selling;Product detail;??;http://www.profikuchyne.cz/kosik/
Zákazníci kupující toto zboží zakoupili také;Appears with succesful message of adding item to cart;Misdirection;Pressured selling;Product detail;??;https://www.cool-ceny.cz/added/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Nakupte ještě za 651 Kč a máte dopravu zdarma!;;Misdirection;Pressured selling;Product detail;No;https://www.cool-ceny.cz/added/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Zákazníci s tímto zbožím také kupují;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bohemiababyshop.cz/asalvo-complet-postylka-grey-nordic-zavesne-dno-hrazda-zip-a-prebalovaci-pult-p13082/
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Heureka Ověřeno zákazníky, který pomáhá zlepšovat naše služby;;Misdirection;Trick Questions;Checkout Process;No;https://www.bohemiababyshop.cz/objednat-krok2/?status=1&step=1&crtoken=2
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.autoface.cz/nabijecky-akumulatoru-2/nabijecka-baterii-6-12-v--4-a--automaticka-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.nadnosalku.cz/kavove-predplatne-na-12-mesicu-ochutnavac/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.indickesaty.cz/satek-do-vlasu-pruhovany-modropurpurovy/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.yesshop.cz/chranic-pod-retez-crussis-10-12x25-cm/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://beta.shoptet.cz/panske-obleceni/columbia-bug-shield/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.nobynet.cz/dezinfekcni-uterky-v-uzaviratelne-doze-septoclenium--100-ks/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.batohama.cz/nepal-velky-batoh-manoy-cerveny/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.babybeds.eu/detska-patrova-postel-s-uloznym-prostorem-carino-bila/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.x-trenink.cz/kovova-trojnozka-attack-triangle/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.levne-pletivo.cz/branky-zahradni-jednokridle-zelene-sire-100-cm-vypln-2d-3d/branka-vypln-3d-vyska-155x100-cm-fab-zelena/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.portum.cz/hrebeny-a-kartace/cestovni-kartac-na-vousy-the-bluebeards-revenge/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.paracord.cz/shock-cord-elasticke-lanko-piskova/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://eshop.reponio.cz/zakoncovaci-listy-2/lista-zakoncovaci-finio-200-cm-grafit/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.wux-naramky.cz/minimalisticky-macrame/minimalisticky-cerny--naramek-se-zlatym-koralkem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.diving.cz/suche-rukavice-mapa-professionnel-harpon-321-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.bealio.cz/stribrne-srdce-rozlamovaci/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI:;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.babynabytek.cz/p/30853-proutena-postylka-s-vybavou-pro-miminko-sede-hvezdy/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.reded.cz/zbozi/ponorna-automaticka-vodarna-aquacup-ecorra-1200/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.slevnuj.cz/kartace-a-hrebeny--zastrihovace--zehlicky-na-vlasy/beurer-hde33--vysousec-vlasu-elle-by-beure/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.hajekhobby.cz/modely-2/1-72-breguet-br-695ab-2-under-the-vichy-government/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.eshopbois.cz/elektronicka-strelecka-sluchatka-3m-peltor-sporttac-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.detailingshop.cz/auto-finesse-dressle-all-purpose-dressing-500ml-sealant-na-plasty/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.mamekoralky.cz/vlakno-elasticke--ploche-0-5mm--delka-10m--barva-cira/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.teto-design.cz/police-na-auticka-motiv-autobus-anglie-prava-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.polarshop.cz/polar-vantage-v2-hr-cycling-bundle/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.diatomplus.cz/asvaganda-indicky-zensen--veganske-kapsle-60/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.tejpovani.cz/temtex-kinesio-tape-classic--oranzova-tejpovaci-paska-5cm-x-5m/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.barvyadler.cz/prislusenstvi/adler-top-cleaner-500-ml-udrzbovy-cistic-na-okna/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.smartomat.cz/smartomat-silentband-2-cerna/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.4karate.cz/sport-in-line-brusleni-koleckove-brusle-3/koleckove-brusle-nils-extreme-nh18122-4v1-fialove/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.petsmile.cz/granule-pro-psy/tow-southwest-canyon-canine-12-2kg/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.coolpohyb.cz/sportovni-podprsenky/gym-glamour-podprsenka-seamless-black/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.tiniana.cz/naramek-z-lavovych-kamenu-a-jemne-oranzoveho-jaspisu/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.gastprofit.cz/mycky-nadobi-a-skla-krupps-mycky-nadobi-k560e/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.kocarkykarlov.cz/tasky-na-rukojet/lassig-4family-taska-na-rukojet-green-label-rolltop-backpack-anthracite/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.mooda.cz/dlouhe-sukne/damska-sukne-magnolie/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.equicore.cz/rajtky-nepromokave-kalhoty-a-navleky/panske-rajtky-viaeq-pola--hnede--46/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.kozenavyroba.cz/kozene-prodluzovaci-voditko--dvoukarabinove--20mm-sire--delka-220cm/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.i-samoska.cz/intensive-mangostan-malina-ovocny-porcovany-40g-vitto-tea/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.behani.cz/boty-panske/bezecke-boty-mizuno-wave-ultima-12-j1gc211821/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.ceskeprikryvky.cz/zdravotni-vlneny-polstar-besky-premium/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.drvet.cz/audevard/balsamic-control/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.vrabelovaeshop.cz/motorova-pila-ms-261-c-m/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.kibokostore.cz/paddleboard-kiboko-safari-220/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rescue-store.cz/odznaky/odznak-vseobecna-sestra/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.tinystar.cz/mantinel-180-cm-ptaci-zpev/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.astre.cz/pocketbook-hpbpuc-1010-bl-s-pouzdro-sleeve-pro-pocketbook-1040-inkpad-x-cerna-zlut-typ-sleeve/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;http://www.redbagshop.cz/ps4-chladici-stanice-slim-pro/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.tvdigitalne.cz/dalkovy-ovladac-vu-bluetooth-ir100/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://eshop.lindha.cz/cistici-stroj-lw46-electric-vyprodej/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.levne-povleceni.cz/detske-povleceni-tlapkova--patrola-vzdy-pripraveni/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.pandjjewellery.cz/klipy/stribrny-klip-reflexions-kolobeh-zivota-rfch1/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.cyklodesign.cz/sbalitelny-nepromokavy-batoh-apidura-packable-backpack/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.zidlestul.cz/zidle-calounene/zidle-aesti-patchwork-dsw-3-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.fotosony.cz/sony-fe--full-frame-e-/samyang-50-mm-f-1-4-af-fe/
