Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page;Domain
K dopravě zdarma zbývá 1 202 Kč;;Misdirection;Pressured Selling;Product Detail;No;https://www.vibratory-online.cz/produkt/couples-ring-erekcni-krouzek-s-vibraci/?cartAdded=V13498;www.vibratory-online.cz
K dopravě zdarma zbývá 802 Kč;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.vibratory-online.cz/produkt/taboom-my-favorite-rabbit-vibrator-pink/;www.vibratory-online.cz
K dosažení limitu poštovného zdarma zbývá nakoupit za: 1282,- Kč;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.pletu.cz/kruhove-jehlice-seeknit-shirotake-80cm-4-5mm;www.pletu.cz
K dosažení limitu poštovného zdarma zbývá nakoupit za: 1420,00 Kč;;Misdirection;Pressured Selling;Cart Detail;No;https://www.topvet.cz/kosik?add_zbozi=914&pocet=1;www.topvet.cz
K optimalizaci fungování našeho webu používáme cookies. Zjistit více o cookiesRozumím;Cookie bar;Forced Action;Forced Enrollment;Product Detail;No;https://poly.cz/vrtak-s-valcovou-stopkou-kratky-levorezny-hss-2800mm-csn-221180;poly.cz
K personalizaci obsahu a reklam, poskytování funkcí sociálních médií a analýze naší návštěvnosti využíváme soubory cookie. Informace o tom, jak náš web používáte, sdílíme se svými partnery působícími v oblasti sociálních médií, inzerce a analýz. Další informace Souhlasím;;Forced Action;Forced Enrollment;Product Detail;No;https://www.victoriagrace.cz/tehotenske-saty/95-annie-coral.html;www.victoriagrace.cz
K tomuto produktu zákazníci kupují;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.knihydobrovsky.cz/kniha/10-000-kilometru-pesky-jizni-amerikou-293483404;www.knihydobrovsky.cz
K tomuto zboží zákazníci nejčastěji nakupují;In a popup;Social Proof;Activity Message;Product Detail;??;https://www.cistedrevo.cz/dreveny-ohybany-stojanek-na-mobil-svetly;www.cistedrevo.cz
K ukládání nastavení a správnému fungování těchto stránek využíváme soubory cookies. Používáním webu s jejich používáním souhlasíte. Více o cookiesSouhlasím;Cookie bar;Forced Action;Forced Enrollment;Product Detail;No;https://www.allbags.cz/cs/panske-penezenky/91-panska-kozena-penezenka-lagen-1998-svetle-hneda.html;www.allbags.cz
Klíšťatům chcete smrdět! Mrkněte na přírodní antiparazitika ✓ Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://obchod.dogfitness.cz/menforsan/menforsan-antiparazitni-sprej-pro-psy-proti-klistatum-a-blecham-s-extraktem-z-margosy/;obchod.dogfitness.cz
Končí za 20:44:52;Reloads every day;Urgency;Countdown Timer;Product Detail;Yes;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/;www.svet-svitidel.cz
Končí za:5 d : 06h : 32min. : 02s;;Urgency;Countdown Timer;Product Detail;No;https://consumer.huawei.com/cz/accessories/?type=tablet-accessories;consumer.huawei.com
Kristýna z Merklína má novou objednávku před 3 hodinami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.nosenideti.cz/LennyLamb-SWALLOWS-RAINBOW-DARK;www.nosenideti.cz
LAST MINUTE !;The last minute is in the caption for more than a week;Urgency;Limited-time Message;Product Detail;Yes;https://www.drzakanteny.cz/product.php?id_product=150&id_lang=1;www.drzakanteny.cz
LETNÍ VÝPRODEJ končí za: 23h 7 min 24s;;Urgency;Countdown Timer;Product Detail;??;https://www.rouska.cz/nano-respirator-breasafe-anti-covid-19--cz-mikrobialne-znovupouzitelny/;www.rouska.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.hydromasaznivany.cz/hydromasazni-vany/2695-hydromasazni-vana-mocoori-lotus-180x120x755cm-cerpadlo-vodavzduch-9231577111264.html;www.hydromasaznivany.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.krbova-kamna-kotel.cz/kotle-na-pelety/2806-opop-biopel-line-150-automaticky-kotel-na-pelety-150-kw-kotlikove-dotace-a-nzu-svt.html;www.krbova-kamna-kotel.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.levnesauny.cz/infracervene-sauny/2012-infracervena-sauna-exclusive-one-cerveny-cedr-90x90x200cm-pro-1-osobu-triple-zarice-8711577161262.html;www.levnesauny.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.levnevirivky.cz/virivky-spa-whirlpool/3846-eo-spa-in-105-sterling-silver-seda-195x195cm-extremni-izolace-3414377217263.html;www.levnevirivky.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.sprchove-kouty-parni-boxy.cz/sprchove-masazni-boxy/381-sprchovy-masazni-box-eago-d989-s-vanickou-prava-verze-100x100x235-4401577310268.html;www.sprchove-kouty-parni-boxy.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.tepelne-cerpadla.cz/tep-cerp-vzduchvoda/1584-hotjet-10-one2-plus-65c-tepelne-cerpadlo-vzduch-voda-kompaktni-provedeni-s-hydroboxem-300-l-kotlikove-dotace-a-nzu-svt--4401577509266.html;www.tepelne-cerpadla.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.wellness-koupelna.cz/parni-sprchove-boxy/3077-parni-box-eago-dz1007f12r-s-vanickou-prava-bila-verze-120x90x215cm-4361577223261.html;www.wellness-koupelna.cz
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Detail;Yes;https://www.wellness-vybaveni.cz/bidety/1215-zavesny-bidet-mocoori-54x36x375cm-4000104-9111577666269.html;www.wellness-vybaveni.cz
Lucie z Prahy objednal(a) na obchodnisa.cz ? před 27 minutami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.obchodnisa.cz/kotnikova-bezpecnostni-obuv-adm-alegro;www.obchodnisa.cz
Lukáš z Mladé Boleslavi má dokončenou objednávku před 2 hodinami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.azbike.cz/p/5846013-bezdratova-elektricka-pumpicka-smartnewo-bp198;www.azbike.cz
Lukáš z Prahy má dokončenou objednávku před 22 minutami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.bestent.cz/folie/folie-na-foliovnik-3x6m-s-uv-filtrem/;www.bestent.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://cista-priroda.cz/osobni-hygiena/bio-d-mydlo-s-konopnymi-otrubami-95-g.html;cista-priroda.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://eskutr.cz/sady-na-prestavbu-na-elektrokolo/552-kit-evbike-stredovy-pohon-500w-48v-.html;eskutr.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://gajdavladan.cz/vicekaminkove/644-nausnice-nsk01grb-na-sroubek-s-granaty-a-zirkony.html;gajdavladan.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://kabelkyiveth.cz/vzorovane-kabelky/25-kabelka-stribrne-vetvicky.html;kabelkyiveth.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://knihy-online.eu/uprava-fotografii/adobe-photoshop-cc-andrew-faulkner-conrad-chavez;knihy-online.eu
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://kohout-moto.com/rukavice/735341-13512-rukavice-thor-s15-spectrum-red-8000000046550.html#/25-velikost-s;kohout-moto.com
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://modataleti.cz/nocni-kosile/1759-15997-tehotenska-a-kojici-nocni-kosile-elen-tmave-modra.html#/34-barva-tmave_modra/70-velikost-s_m;modataleti.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://nabytekzet.cz/olier/1876-5370-zavesna-skrinka-olier-ol-10.html#/230-barva-dub_artisan_cerny;nabytekzet.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://optika-stribro.cz/produkty-e-shop/3111-1312-sportovni-dioptricke-bryle-19-ocean#/4-barvy-cerna;optika-stribro.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://pt-shop.cz/cs/stoly-a-stolky/2194-3032-marble-castello-zamecky-stolek-s-mramorem-cernazlata.html;pt-shop.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://sceptre-shop.cz/pletaci/264-prize-bio-coton-color-0103-modrozelena-4014816278832.html;sceptre-shop.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://shop.cotu.eu/cs/vyprodej/142-4144-repasovana-m200-od-zortrax-se-slevou.html#/239-filtry-bez_zortrax_hepa_krytu;shop.cotu.eu
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://skvelematrace.cz/1446-hypnose-visco-11.html;skvelematrace.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.ab-pracovni-odevy.cz/cxs-stretch/44-195-zahradniky-cxs-stretch-panske-stredne-modre-cerne.html#/39-velikost-46/51-barva-modro_cerna;www.ab-pracovni-odevy.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.achillesbike.cz/10443,cz_horske-elektrokolo-apache-payat-comp-individual.html;www.achillesbike.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.blankastraka.cz/tehotenske-tyrkysove-saty-dorothy-perkins-amelia;www.blankastraka.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.boutique-lanostra.cz/damske-kabelky/michael-kors-crossbody-jet-set-travel-35t8gttc9l-black-leather;www.boutique-lanostra.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.cinske-knihy.cz/cs/ucebnice-cinstiny/16-cinsky-raj-ceska-edice-karty-se-slovy-a-vyrazy-druhe-vydani-9787561925669.html;www.cinske-knihy.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.dracicoleti.shop/draci/174-motyl-mega.html;www.dracicoleti.shop
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.extra-boty.cz/kozacky-nad-kolena/46-erogance-kozacky-nad-kolena-cerne-leskle-extremplatform.html;www.extra-boty.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.flora-kvetiny.cz/rozvoz-kvetin-praha/kytice-cervenych-ruzi-1-bila-ruze.html;www.flora-kvetiny.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.fragment.cz/tituly/59539748/cteme-s-obrazky-nufikova-dobrodruzstvi/;www.fragment.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.jimot.cz/nite-prize/1744-aunt-lydias-classic-10-prize-multicolor.html;www.jimot.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.kohoot.cz/dokonali-chlapi/8367-93463-tricko-dokonali-chlapi-z-petrvaldu-345.html#/2-velikost-xs/10-pohlavi-panske;www.kohoot.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.komody.cz/30295,cz_satni-skrin-policova-hloubka-30-vyska-180-30-50cm.html;www.komody.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.mlsnykoutek.cz/10451,cz_micro-straws-slamka-s-cukrovinkovym-praskem-x-50.html;www.mlsnykoutek.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.shopyshop.cz/batohy/1646-2687-victoria-s-secret-zebra-batuzek.html#/4-velikost-uni/11-barva-cerna/435-znacka-victoria_s_secret;www.shopyshop.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.spokoshop.cz/15599,cz_profesionalni-stojan-stativ-na-noty-skladaci-novy-st10.html;www.spokoshop.cz
MOHLO BY VÁS TAKÉ ZAJÍMAT;;Misdirection;Pressured Selling;Product Detail;No;https://www.tazne-zarizeni-vamot.cz/akce/8860-7-pin-eltypova-opel-movano-skrin-minibus.html;www.tazne-zarizeni-vamot.cz
Martin z Brna už má objednáno. Děkujeme 💙 před 2 hodinami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.askontsedacky.cz/pohovka-3m-sheffield-dark-green-p419;www.askontsedacky.cz
Martin z Prahy už má objednanou čistírnu STMH před 10 dny  od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://obchod.hellstein.cz/vestavba-cistirny-odpadnich-vod-stmhv53/;obchod.hellstein.cz
Méně než 4 ks;Not deceptive, because the stock shrank over time.;Scarcity;Low-stock Message;Product Detail;No;https://www.bikeranch.cz/giro-prilba-register-mips-highlight-yellow;www.bikeranch.cz
Michala, Bukovno má dokončenou objednávku před 2 dny  od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.trpajzlik.cz/Mouse-Mama-damske-tricko-d1228.htm;www.trpajzlik.cz
Milan z Liberce už má objednáno 🛒 Děkujeme ♥️ před 23 hodinami  od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.rono.cz/detail/detsky-kufr-s-batohem-znacky-t-class-s-motivem-lyzare;www.rono.cz
Mohlo by se hodit;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.fandora.cz/westmark-mlynek-na-sul-a-pepr-nerezovy-traditionell;www.fandora.cz
Mám zájem o nabídky přizpůsobené mým zájmům. Vaše osobní údaje chráníme.;Forced sign for newsletter but in a cookie bar;Misdirection;Visual Interference;Product Detail;No;https://www.kefija.cz/kefija/eshop/0/0/5/575-Bialetti-Dama-Glamour-Azzurra-na-3-salky-POSLEDNI-KUS-SKLADEM-AKCE-SLEVA#;www.kefija.cz
"Máme nejlepší ""cookies"" a nebojíme se je použít Akceptovat všechny cookies Nastavení Cookies slouží k tomu, aby tvá návštěva na stránce Muziker byla příjemnou zkušeností a ne hororovým zážitkem. Díky nim si zapamatujeme tvé preference a nebudeme ti nabízet golfové míčky pokud hledáš struny na violoncello. Využívej naši stránku naplno a dej nám souhlas s používáním cookies. Více informací.";Cookie bar with visual interference;Misdirection;Visual Interference;Product Detail;No;https://www.muziker.cz/poc-joint-vpd-2-0-knee-uranium-black-xl;www.muziker.cz
Máme pro Vás mimořádnou nabídku. Níže uvedené produkty jsme jen pro Vás zlevnili.;Partially deceptive - the discount is less lower from the actual advertised price;Misdirection;Pressured Selling;Cart Detail;Yes;https://www.jumboshop.cz/?route=checkout/cart;www.jumboshop.cz
Máme pro vás dárek Na nic už nečekejte a svůj dárek si vybírejte;;Misdirection;Pressured Selling;Cart Detail;No;https://www.atan.cz/kosik;www.atan.cz
Máte právo kdykoli odvolat souhlas se zpracováním Vašich osobních údajů daný správci. Tímto však není dotčena zákonnost zpracování Vašich osobních údajů před takovýmto odvoláním souhlasu. Váš souhlas se zpracováním osobních údajů můžete odvolat na emailu info @2000online.cz;email to cancel;Obstruction;Hard to Cancel;Checkout Process;No;https://www.zmrzlinovy-stroj.cz/zpracovani-osobnich-udaju.html;www.zmrzlinovy-stroj.cz
Máte právo kdykoli odvolat souhlas se zpracováním Vašich osobních údajů daný správci. Tímto však není dotčena zákonnost zpracování Vašich osobních údajů před takovýmto odvoláním souhlasu. Váš souhlas se zpracováním osobních údajů můžete odvolat na emailu makina@makina.ltd.;;Obstruction;Hard to Cancel;Checkout Process;No;https://www.altrishop.cz/fotky30853/gdpr/docs/2021_01_20_022522_3_MAKINA-gdpr-privacy-policy.pdf;www.altrishop.cz
Máte právo kdykoliv odvolat souhlas se zpracováním Vašich osobních údajů daných správci. Tímto však není dotčena zákonnost zpracování Vašich osobních údajů před takovýmto odvoláním souhlasu. Váš souhlas ze zpracováním osobních údajů můžete odvolat následujícím způsobem: Kontaktujte nás na hotline@sexyhracky.sk nebo +421 911 914 783.;email and phone to cancel;Obstruction;Hard to Cancel;Checkout Process;No;https://www.eroticke-pomucky.com/?action=pad&error=paypal;www.eroticke-pomucky.com
Může se hodit;;Misdirection;Pressured Selling;Cart Detail;No;https://www.expert.cz/order/;www.expert.cz
Můžeme vám občas zaslat rychlé novinky od ahifi.cz? Ne Ano;Popup;Misdirection;Visual Interference;Product Detail;No;https://www.ahifi.cz/4carmedia-iso-konektor-citroen-peugeot-1.html;www.ahifi.cz
NABÍDKA JE ČASOVĚ OMEZENÁ!;Hardcoded limited time offer;Urgency;Limited-time Message;Product Detail;Yes;https://www.perfect-dress.eu/modni-bavlneny-kabat-modry-trenckot-s-paskem-a-prezkami-h-b38r80213/;www.perfect-dress.eu
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://grossmann-matrace.cz/antibakterialni-matrace-sasa-do-120-kg/;grossmann-matrace.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.hydromasaznivany.cz/hydromasazni-vany/2695-hydromasazni-vana-mocoori-lotus-180x120x755cm-cerpadlo-vodavzduch-9231577111264.html;www.hydromasaznivany.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.levnesauny.cz/infracervene-sauny/2012-infracervena-sauna-exclusive-one-cerveny-cedr-90x90x200cm-pro-1-osobu-triple-zarice-8711577161262.html;www.levnesauny.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.levnevirivky.cz/virivky-spa-whirlpool/3846-eo-spa-in-105-sterling-silver-seda-195x195cm-extremni-izolace-3414377217263.html;www.levnevirivky.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.sprchove-kouty-parni-boxy.cz/sprchove-masazni-boxy/381-sprchovy-masazni-box-eago-d989-s-vanickou-prava-verze-100x100x235-4401577310268.html;www.sprchove-kouty-parni-boxy.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.wellness-koupelna.cz/parni-sprchove-boxy/3077-parni-box-eago-dz1007f12r-s-vanickou-prava-bila-verze-120x90x215cm-4361577223261.html;www.wellness-koupelna.cz
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.wellness-vybaveni.cz/bidety/1215-zavesny-bidet-mocoori-54x36x375cm-4000104-9111577666269.html;www.wellness-vybaveni.cz
NEJPRODÁVANĚJŠÍ NEJPRODÁVANĚJŠÍ V KATEGORII;;Social Proof;Activity Message;Product Detail;No;https://www.pospartner.cz/pokladni-zasuvka-virtuos-c420c-k-cerna-rj10p10c-s-kabelem-kovove-drzaky-bankovek;www.pospartner.cz
NEJPRODÁVANĚJŠÍ PRODUKTY;;Social Proof;Activity Message;Product Detail;No;https://www.motomachos.cz/home/1531-akce-led-blinkry-na-motorku-arrow1-led-prerusovac.html;www.motomachos.cz
NEJPRODÁVANĚJŠÍ V KATEGORII NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.inpap.eu/toaletni-papir-virgin-401794-2-vrstvy-11-cm-10-ks-bal;www.inpap.eu
Na základě 1 hodnocení;;Social Proof;Activity Message;Product Detail;??;https://www.hervis.cz/store/Vybaven%C3%AD/J%C3%ADzdn%C3%AD-kola/D%C4%9Btsk%C3%A1-kola/Cygnus/Light-Speed-16/p/COLOR-2719029#reviews;www.hervis.cz
Nakoupíte-li ještě zboží za 1 202 Kč, budete mít DOPRAVU ZDARMA!;;Misdirection;Pressured Selling;Cart Detail;No;https://www.vibratory-online.cz/kosik/zbozi/;www.vibratory-online.cz
Nakup ještě za 2 210 Kč a dáme ti dopravu zdarma;;Misdirection;Pressured Selling;Cart Detail;No;https://www.muziker.cz/shop/basket;www.muziker.cz
Nakupte alespoň 2 stejné položky od druhu a získejte další slevu 2%.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.rpjservice.cz/katalog/kosik/;www.rpjservice.cz
Nakupte alespoň za 100 000,00 Kč (bez DPH) a získejte další slevu 2% - zbývá vám ještě 48 391,24 Kč.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.rpjservice.cz/katalog/kosik/;www.rpjservice.cz
Nakupte ješte za 109 Kč a doručení máte zdarma.;;Misdirection;Pressured Selling;Product Detail;No;https://www.martinus.cz/?uItem=186177#reviews;www.martinus.cz
Nakupte ješte za 840 Kč a získáte dopravu zdarma Zásilkovna do ČR;;Misdirection;Pressured Selling;Cart Detail;No;https://www.grilguru.cz/vase-objednavka;www.grilguru.cz
Nakupte ještě za 1 001 Kč a získejte 10% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.volchem.cz/volchem-bruciagrassi-fat-burner-210-tablet/;www.volchem.cz
Nakupte ještě za 1 032 Kč a získejte 17% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.eternalcomplex.cz/maltodextrin-bez-prichute--doza-1300g-/;www.eternalcomplex.cz
Nakupte ještě za 1 045 Kč a získejte 2% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.dejmunej.cz/natures-menu-home-prepare-barf-mlete-jehneci-a-kureci/;www.dejmunej.cz
Nakupte ještě za 1 101,- Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.pilsenyoyo.cz/kosik/?cast=add;www.pilsenyoyo.cz
Nakupte ještě za 1 203 Kč a dopravu máte zdarma;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kbsport.cz/zbozi-vesta-sevylor-plavacek-puddle-jumper-detail-89167#variants-selection;www.kbsport.cz
Nakupte ještě za 1 210,00 Kč abyste měli dopravu i platbu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://grossmann-matrace.cz/nakupni-kosik/;grossmann-matrace.cz
Nakupte ještě za 1 247 Kč a získáte poštovné zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://cista-priroda.cz/kosik?action=show;cista-priroda.cz
Nakupte ještě za 1 248 Kč a máte dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.kursport.cz/order/cart;www.kursport.cz
Nakupte ještě za 1 269 Kč vč. DPH z patra Baterie Mobile Energy a získáte dopravu ZDARMA!;;Misdirection;Pressured Selling;Product Detail;No;https://www.vtdata.cz/ac-adapter-duracell-pro-cyber-shot-sony-dsc-t9-super-steady-shot;www.vtdata.cz
Nakupte ještě za 1 301 Kč a získáte dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.sperky-image.cz/cart;www.sperky-image.cz
Nakupte ještě za 1 355,00 Kč a máte dopravu ZDARMA;;Misdirection;Pressured Selling;Product Detail;No;https://www.besta-shop.cz/Flippin-Silikonova-forma-na-livance-volska-oka-a-mini-palacinky-24-cm-d6175.htm;www.besta-shop.cz
Nakupte ještě za 1 430 Kč a máte dopravu ZDARMA;;Misdirection;Pressured Selling;Product Detail;No;https://www.mmservis-pracky.cz/tesneni-pod-nadobku-dolce-gusta-kp-ms-623712;www.mmservis-pracky.cz
Nakupte ještě za 1 466 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.piratskyobchod.cz/vybaveni-na-palubu/antiskenovaci-obal-na-platebni-kartu/;www.piratskyobchod.cz
Nakupte ještě za 1 601 Kč s DPH64,82 € a vyberte si z našich dárků.;;Misdirection;Pressured Selling;Product Detail;No;https://www.novacig.cz/joyetech-ex-hlava-nahradni-atomizer-pro-radu-exceed;www.novacig.cz
Nakupte ještě za 1 673 Kč, poštovné budete mít po ČR ZDARMA.;;Misdirection;Pressured Selling;Product Detail;No;https://eshop.ziskejzdravi.cz/dejiny-zla-vrcholi-varovani-tri-andelu--adventime/;eshop.ziskejzdravi.cz
Nakupte ještě za 1 701 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured Selling;Checkout Process;No;https://www.hubatacernoska.cz/pokladna;www.hubatacernoska.cz
Nakupte ještě za 1 702 Kč a získejte 8% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.aromaoils.cz/altevita-smes-esencialnich-oleju-astro-stir--scorpio--10ml/;www.aromaoils.cz
Nakupte ještě za 1 810 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.krumlovanka.cz/damska-lnena-cepice-s-ksiltem-krumlovanka-437057-svetle-seda/;www.krumlovanka.cz
Nakupte ještě za 1 811 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured Selling;Checkout Process;No;https://www.narextools.cz/pokladna;www.narextools.cz
Nakupte ještě za 1 850 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.bio-colostrum.cz/pokladna;www.bio-colostrum.cz
Nakupte ještě za 1 904 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured Selling;Checkout Process;No;https://eshop.gmtechnik.cz/pokladna;eshop.gmtechnik.cz
Nakupte ještě za 1 965 Kč a získejte poštovné zdarma!;;Misdirection;Pressured Selling;Checkout Process;No;https://www.tutto-italiano.cz/Eshop/order/;www.tutto-italiano.cz
Nakupte ještě za 1 991 Kč a budete mít poštovné zdarma.;;Misdirection;Pressured Selling;Product Detail;No;https://www.naau.cz/ffp2-respiratory/10011165-filtracni-maska-tridy-2-nr-zhishan-10217-1-ks-bila.html;www.naau.cz
Nakupte ještě za 1 999 Kč a máte dopravu zdarma;Partially deceptive - delivery for free only for Zásilkovna;Misdirection;Pressured Selling;Product Detail;Yes;https://www.jumboshop.cz/7383-chytry-drzak-do-auta-s-cidlem-a-bezdratovym-nabijenim-s5;www.jumboshop.cz
Nakupte ještě za 118 Kč a dopravu máte ZDARMA;In popup;Misdirection;Pressured Selling;Product Detail;No;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/;www.svet-svitidel.cz
Nakupte ještě za 1821 Kč a získejte dopravu ZDARMA;;Misdirection;Pressured Selling;Product Detail;No;https://www.ahifi.cz/4carmedia-iso-konektor-citroen-peugeot-1.html;www.ahifi.cz
Nakupte ještě za 1821 Kč a získejte dopravu ZDARMA;;Misdirection;Pressured Selling;Cart Detail;No;https://www.ahifi.cz/kosik/detail.htm;www.ahifi.cz
Nakupte ještě za 1 079Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured Selling;Product Detail;No;http://www.vunezmamulada.cz/parfemy-pro-zeny/detska-parfemova-voda-ale-aloe-therapy-acqua-di-profumo-ale.htm;www.vunezmamulada.cz
Nakupte ještě za 2 118 Kč a získáte 4 ks AA baterie ZDARMA!;In popup;Misdirection;Pressured Selling;Product Detail;No;https://www.svet-svitidel.cz/venkovni-svitidlo-blake-2-gu10-50w-230v-ip65/;www.svet-svitidel.cz
Nakupte ještě za 2 210 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product Detail;No;https://www.curaloe.cz/vyhodna-baleni/sampon-a-kondicioner/;www.curaloe.cz
